OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
1105232,04092016286,CHECKERS PIZZA,2810 HILLSBOROUGH ST ,,RALEIGH,NC,27607,(919) 832-6522,2012/11/01 00:00:00+00,Restaurant,3,-78.67445032,35.78959693,M
1105233,04092017190,THE FALCON'S NEST AT ST. AUGUSTINE,1315 OAKWOOD AVE ,,RALEIGH,NC,27601,(919) 821-7646,2016/03/28 00:00:00+00,Restaurant,5,-78.61949307,35.78808582,M
1105234,04092017321,WENDY'S #6339,2091 S MAIN ST ,,WAKE FOREST,NC,27587,(919) 569-2133,2016/09/13 00:00:00+00,Restaurant,33,-78.53253168,35.94845207,M
1105235,04092016155,DAILY PLANET CAFE,11   W JONES ST ,STE 1509,RALEIGH,NC,27601,(919) 707-8060,2012/04/12 00:00:00+00,Restaurant,34,-78.63943083,35.78220511,M
1105236,04092016161,HIBACHI 88,3416 POOLE RD ,,RALEIGH,NC,27610,(919) 231-1688,2012/04/18 00:00:00+00,Restaurant,36,-78.57953261,35.76724571,M
1105237,04092017180,BOND BROTHERS BEER COMPANY,202 E CEDAR ST ,,CARY,NC,27511,(919) 459-2670,2016/03/11 00:00:00+00,Restaurant,37,-78.77802091,35.78798563,M
1105238,04092018352,Prime Barbeque,403 KNIGHTDALE STATION RUN,,KNIGHTDALE,NC,27545,(919) 373-8076,2020/04/22 00:00:00+00,Restaurant,38,-78.47356613,35.79722482,M
1105239,04092017541,RISE BISCUITS & DONUTS,169 GRAND HILL PL ,,HOLLY SPRINGS,NC,27540,(919) 586-7343,2017/03/03 00:00:00+00,Restaurant,50,-78.84948074,35.66266499,M
1105240,04092050030,Wake Christian Academy Cafeteria,5500 Wake Academy Dr,,RALEIGH,NC,27603,(919) 772-6264,2018/08/03 00:00:00+00,Private School Lunchrooms,52,-78.67165429,35.70444604,M
1105241,04092021875,HL CATERING COMPANY,1012 OBERLIN RD ,,RALEIGH,NC,27605,(919) 675-1854,2015/09/29 00:00:00+00,Food Stand,63,-78.65955263,35.79661923,M
1105242,04092018422,Moe's Southwest Grill #283,10760 WAKEFIELD COMMONS DR,,RALEIGH,NC,27614,(919) 570-3222,2020/08/19 00:00:00+00,Restaurant,77,-78.5408878,35.94279833,M
1105243,04092021604,The Butchers Market,1225 KILDAIRE FARM RD,,CARY,NC,27511,(919) 465-3082,2010/01/20 00:00:00+00,Food Stand,116,-78.78213078,35.7627377,M
